Event Name,Founding Year,Significance,Location,Founders,Annual Occurrence,Historical Context,Attendance Numbers,Attendance Growth,Criticisms Faced,Impact on LGBTQ+ Community,Rentboy.com,International Escort Awards,Hustlaball,Attendance,Parade Route,Economic Impact,Special Decorations,Locations,Duration,Awards/Recognition,Winners,Representation at Mr. Gay World,trigger
Pride in Liverpool,2008,"Weekend-long festival celebrating LGBT culture, commemorates Michael Causer, one of Europe's largest free Gay Pride festivals, parade, open-air festival, organized by Liverpool City Region Pride Foundation","Liverpool City Centre, UK",Liverpool City Region Pride Foundation,Annually in August,"Founded in 2008 after Michael Causer's death, parade attracts 12,000+ participants, audience reached 75,000 in 2013, aims to promote equality and diversity, registered charity since 2019",,,,,,,,,,,,,,,,,Liverpool Pride
Long Beach Lesbian & Gay Pride,1984,"Second largest gay pride event in the US, held yearly on the next to last weekend in May, organized by LBLGP Inc., promotes pride and self-worth, fosters community cooperation","Long Beach, California",LBLGP Inc.,Annually in May,"Established in 1983, first event in 1984, aims to increase awareness and cooperation within the community, donates proceeds to charitable organizations",,,,,,,,,,,,,,,,,Long Beach Lesbian & Gay Pride
Madrid Pride,1977,"Europe's largest Pride event, attracts over a million attendees, significant economic contribution to the city, evolved from small gathering in late 1970s","Madrid, Spain","LGBTQ+ community, local supporters",Annually in June,"First celebrated in 1977, post-Franco regime, annual event since 1978, influenced by Stonewall Riots, part of global Pride movement",,,,,,,,,,,,,,,,,Madrid Pride
Merlinka Festival (International Queer Film Festival Merlinka),2009,"Screens LGBT-themed films, honors Vjeran Miladinović Merlinka, promotes LGBT art and culture, awards Dorothy's slipper for best short film",,"Gay Lesbian Info Centre, Belgrade Youth Center",,,,,,,,,,,,,,"Belgrade, Sarajevo, Podgorica",5 days in December,"Dorothy's slipper award, previously awarded best feature and documentary films",,,Merlinka Festival
Mezipatra Czech Queer Film Festival,2000,"Screens films with LGBTQ+ themes, creates space for diverse identities, explores chosen themes, hosts international guests, includes lectures, debates, art openings, theatre performances, and parties","Prague, Brno, Czech Republic","STUD Brno, Mezipatra Association",Annually in November,"Founded in 2000 in Brno, expanded to Prague in 2002, related events in Ostrava, Olomouc, and other cities, offers additional screenings throughout the year, participates in Prague Pride, introduces jury awards from 4th edition",,,,,,,,,,,,,,,,,Mezipatra Gay and Lesbian Film Festival
Minsk Pride,1999,"Festival supporting tolerance for LGBTQ+ community in Belarus, organized by Belarusian League for Sexual Equality “Lambda” and ""Forum Lambda"", included seminars, conferences, exhibitions, and competitions",Minsk,"Belarusian League for Sexual Equality “Lambda”, ""Forum Lambda""",Not specified,"First Belarusian Pride Festival held in Minsk in 1999, supported by prominent figures in Belarusian culture, faced government bans on marches and activities",,,,,,,,,,,,,,,,,Minsk Gay Pride
Montenegro Pride,2013,"National LGBTIQ pride march in Podgorica, first held in 2013, organized by volunteer committee, supported by Queer Montenegro, faced opposition and violence during first event","Podgorica, Montenegro","Volunteer committee, Queer Montenegro",Annually,"First event in 2013, annual occurrence, protected by 2,000 police officers, faced opposition from extremist groups, fascists, and hooligans, clashes resulted in injuries and property damage",,,,,,,,,,,,,,,,,Montenegro Pride
Moscow Pride,2006,"Demonstration for LGBTQ+ rights, regularly banned by Moscow City Hall, accompanied by homophobic attacks, banned by authorities, organized by Nikolai Alekseev and Russian LGBT Human Rights Project Gayrussia.ru",Moscow,"Nikolai Alekseev, Russian LGBT Human Rights Project Gayrussia.ru",Intended annually in May,"Banned by Moscow City Hall, homophobic attacks in 2006-2008, banned in 2012, European Court of Human Rights rulings, opposition from religious and political figures",,,,,,,,,,,,,,,,,Moscow Pride
Mr Gay Europe,2005,"Male beauty pageant for gay Europeans, founded by Morten Rudå and Tore Aasheim, first held in Oslo, Norway, notable winners from different years",Europe,"Morten Rudå, Tore Aasheim",Annually,"Hosted in various European cities, winners include Alexander van Kempen, Nandor Gyongyosi, Jackson Netto, Antonio Pedro Almijez, Sergio Lara, Giulio Spatola, Miguel Ortiz, Robbie O'Bara, Jack Johansson",,,,,,,,,,,,,,,,,Mr Gay Europe
Mr Gay Ireland,2005,"Annual contest for gay men, regional heats in gay venues, grand final in late October, current title holder is Max Krzyzanowski, organized by Dublin Gay Theatre Festival",Ireland,Dublin Gay Theatre Festival,Annually in October,"Founded in 2005 as Mr Gay Dublin, aims to overcome negative stereotypes, promote HIV/AIDS awareness, hosted by Brendan Courtney and Dolly Grip, part of International Dublin Gay Theatre Festival",,,,,,,,,,,,,,,,,Mr Gay Ireland
Mr Gay UK,1982,"Annual beauty contest for gay men, regional heats in gay nightclubs, grand final at gay venue, began as ""Mr Hardware"" in 1982, name changed to Mr Gay UK in 1984, televised by BBC, featured on Channel 4 and Five, winner represents UK in Mr Gay Europe, no contest in 2009, 2010, and 2014, changes in rules and voting system in 2011",UK,"Anthony Morley, organizers",Annually,"Started as promotion for gay mail order company, winner represents UK in Mr Gay Europe, changes in voting system in 2011, controversies surrounding first winner's conviction for murder and cannibalism",,,,,,,,,,,,,,,,,Mr Gay UK
Mr Gay Wales - Mr Hoyw Cymru,2005,"Welsh gay male beauty pageant, part of Cardiff Mardi Gras celebrations, independent contest, heats held at gay venues, winner represents venue or city in final, opportunity to compete in Mr Gay Europe and Mr Gay International Contests",Wales,"Christopher Jones, local organizers",Annually,"Founded in 2005, winner competes at European and international levels, Christopher Jones represented Wales in Mr Gay Europe Contest in 2006, winner of 2006 contest from Cardiff, pursuing a career in law",,,,,,,,,,,,,,,,,Mr Gay Wales
Mr Gay World South Africa,2009,"Represents the ultimate gay male in South Africa, promotes education and advocacy for the LGBT community",South Africa,,,,,,,,,,,,,,,,,,"Charl van den Berg, Francois Nel, Lance Weyer, Jason Rogers, Steve Williams, Werner de Waal","Oslo, Norway; Manila, Philippines; Johannesburg, South Africa; Antwerp, Belgium; Rome, Italy",Mr Gay World South Africa
Nashville Pride,1988,"Largest LGBT event in Tennessee, founded in 1988, goal to celebrate LGBT community, connect with resources, notable attendees like Vanessa Carlton","Nashville, Tennessee","National Gay and Lesbian Task Force, Phil Cobucci",Annually in June,"First parade in 1988, Vanessa Carlton's coming out in 2010, record attendance in 2015, 2018, and 2019, canceled in 2020 and delayed in 2021 due to COVID-19",,,,,,,,,,,,,,,,,Nashville Pride
National Coming Out Day,1988,"Promotes LGBT visibility and acceptance, founded by Robert Eichberg and Jean O'Leary, encourages individuals to come out, combats homophobia",Global,"Robert Eichberg, Jean O'Leary",Annually on Oct 11,"Established in 1988, celebrates LGBT individuals coming out, observed on Oct 11, coincides with National March on Washington for Lesbian and Gay Rights in 1987",,,,,,,,,,,,,,,,,National Coming Out Day
National LGBTI Day or Gender and Sexual Minorities' Day,2007,"Celebrates legal victory for LGBTI individuals in Nepal, marks the start of LGBTI rights movement in 2001, established by Blue Diamond Society, Supreme Court ruling in 2007 for LGBT rights protection",Nepal,Blue Diamond Society,Annually on 6th Paush,"Established in 2007, commemorates Supreme Court ruling for LGBT rights, annual celebration on 6th Paush, significant milestone for LGBTI community in Nepal",,,,,,,,,,,,,,,,,National Gender and Sexual Minorities' Day (Nepal)
National Queer Arts Festival,1998,"Established in 1998 to coincide with Pride Month, supported by various organizations, founding artist director is Jonathan David Katz","San Francisco, California","Harvey Milk Institute, Mission Cultural Center for Latino Art, Center for African and African American Art & Culture",Annually in June,"Founded to celebrate queer arts, collaboration with multiple organizations, Jonathan David Katz as founding artist director",,,,,,,,,,,,,,,,,National Queer Arts Festival
Nepal Pride Parade,2019,"First pride march in Nepal, organized by Queer Youth Group, Queer Rights Collective, and Campaign for Change, held on second Saturday of June",Nepal,"Queer Youth Group, Queer Rights Collective, Campaign for Change",Annually in June,"First parade in 2019, coincides with Gaijatra festival, promotes equality, candle-light vigil, themed on inclusion of queer individuals in decision-making processes",,,,,,,,,,,,,,,,,Nepal Pride Parade
Heritage of Pride (NYC Pride),1984,"Produces official NYC LGBTQIA+ Pride Week events, took over from Christopher Street Liberation Day Committee, responsible for Pride festival and rally, first march in 1970, global expansion of Pride events","New York City, New York, USA","LGBTQIA+ community, volunteers, paid staff",Annually in June,"First march brought attention to Stonewall Riots, Pride chapters formed in US cities, Pride London in 1972, events on six continents, additional events in outer boroughs, volunteer-led organization, elected co-chairs, full-time staff since 2002",,,,,,,,,,,,,,,,,New York City Pride
Nottinghamshire Pride,1997,"Organized by a registered charity, aims to celebrate diversity and pride, includes parade, stalls, music, and art","Nottingham, England","Registered charity, local community",Annually in July,"First held in 1997 as Pink Lace, renamed Nottingham Pride in 2000, held at various locations, returned in 2003 at the Arboretum, moved to Forest Recreation Ground in 2010, attracted over 20,000 visitors in 2011",,,,,,,,,,,,,,,,,Nottingham Pride
Osijek Pride,2014,"LGBT pride march in Osijek, Croatia, first held in 2014, third pride event in Croatia after Zagreb and Split","Osijek, Croatia","Local organizers, supporters",Annually,"First event in 2014, aims to promote LGBT visibility in Osijek, Croatia, part of a growing movement for LGBT rights in the country",,,,,,,,,,,,,,,,,Osijek Pride
Pink Dot,1987,"Founded by Bill Toro, privately owned corporation, known for appearing in movies and TV shows, unique delivery system using various vehicles, partnerships with Kozmo.com, Ford Motor Company, and Postmates","West Hollywood, California",Bill Toro,Not applicable,"Founded in 1987, appeared in movies and TV shows, delivery system using different vehicles, partnerships with Kozmo.com, Ford Motor Company, and Postmates",,,,,,,,,,,,,,,,,Pink Dot
Pride Canterbury,2016,"LGBTQ+ pride event and parade in Canterbury, Kent since 2016, rescheduled in 2020 due to COVID-19, exhibition at Beaney House of Art and Knowledge, significant growth in attendance, featured various artists and performers","Canterbury, Kent, UK","Organizers, supporters",Annually in June,"First event in 2016, exhibition in 2020, notable attendees and performers, historical growth and impact on the community",,,,,,,,,,,,,,,,,Pride Canterbury
Pride Festival of Central PA,Late 1980s,"Three-day annual gay pride event, first pride event in Central PA in late 1980s, held at various locations before settling in Riverfront Park in 1992, features musical acts and drag queens, cancelled in 2020 and 2021 due to COVID-19, anticipated return in 2022","Harrisburg, Pennsylvania",Non-profit organization,Annually in July,"First Pride to take place on a US State Capitol in 2018, includes Voice United pre-Pride concert, Pride Festival with entertainment, Family Zone, vendors, and food, Spirits United Sunday church services, stub article on LGBT topics and Harrisburg, Pennsylvania-related article",,,,,,,,,,,,,,,,,Pride Festival of Central PA
Pride in Hull,2001,"Annual LGBT Pride celebration in Hull, organised by Hull LGBT+ Community Pride, first event in 2001, UK Pride in 2017, part of UK City of Culture celebrations","Kingston upon Hull, England","The Warren women's group, volunteers",Annually in July,"Inaugural event in Queen's Gardens, moved to West Park in 2011, relaunched as Pride in Hull in 2015, designated UK Pride in 2017, significant growth in attendance and performers",,,,,,,,,,,,,,,,,Pride in Hull
South African Pride Parade,1990,"First pride parade in South Africa, held in Johannesburg, marked the beginning of pride events in the country, platform for political advocacy against discrimination and hate crimes targeting the LGBT community","Johannesburg, South Africa","Gay and Lesbian Organisation of the Witwatersrand, GLOW",Initially held in 1990,"Initiated and organized by GLOW, attended by 800 people, addressed by Simon Nkoli, Donné Rundle, Beverly Ditsie, Edwin Cameron, and Hendrik Pretorius, first event on the African continent",,,,,,,,,,,,,,,,,Pride parades in South Africa
QFest,1997,"Promotes media arts for LGBT community, screenings at various venues, co-founded by Loris Bradley, Sarah Gish, and Marian Luntz","Houston, Texas","Loris Bradley, Sarah Gish, Marian Luntz",Annually,"First held in 1997, renamed in 2007, no curator, venues book films independently, advisory board organizes films and events",,,,,,,,,,,,,,,,,QFest
Queens Pride Parade and Multicultural Festival,1993,"Second oldest and second largest pride parade in NYC, founded by Daniel Dromm and Maritza Martinez, memorializes Julio Rivera, raises LGBTQ visibility in Queens","Jackson Heights, Queens, New York City","Daniel Dromm, Maritza Martinez",Annually in June,"Founded after the murder of Julio Rivera in 1990, serves as a response to hate crimes and rejection of multicultural curriculum in Queens",,,,,,,,,,,,,,,,,Queens Pride Parade
QueerBomb Dallas,2014,"Non-corporate, community-funded LGBTQIA Pride event, organized by activists Daniel Villarreal and Chaaz Quigley, banned from Dallas Pride events in 2020",Dallas-Fort Worth Metroplex,"Daniel Villarreal, Chaaz Quigley",Annually in June,"First held in 2014, inspired by QueerBomb in Austin, Texas, aims for a pride celebration without corporate influence, controversial article led to ban in 2020",,,,,,,,,,,,,,,,,QueerBomb Dallas
Rainbow March,1996,"Longest continuously run parade for LGBT people in Japan, held annually, last held in 2013","Sapporo, Hokkaido, Japan","LGBT community in Sapporo, Hokkaido",Last held in 2013,"Established in 1996, aimed to support LGBT individuals, last held in 2013, considered a significant event in Japan for the LGBT community",,,,,,,,,,,,,,,,,Rainbow March
Rainbow Reel Tokyo,1992,"International film festival for LGBT audiences, held in Tokyo, formerly known as TILGFF, established in 1992, held at various venues, includes Rainbow Reel Competition","Tokyo, Japan","Organizers, supporters",Annually in July,"Established in 1992, venue changes over the years, Rainbow Reel Competition started in 1995, awards for best film and director",,,,,,,,,,,,,,,,,Rainbow Reel Tokyo
Salento Pride,2015,"Celebrates LGBTQIA+ community and allies, canceled in 2020 due to COVID-19, aims for equal rights and treatment, held in popular gay holiday destination, organized by local LGBTQI+ rights organizations","Gallipoli, Brindisi, Italy","Ra.Ne., ACQUE, Arcigay Salento, LA COLLETTIVA, LeA",Annually in August,"Inception in 2015, typically held in Gallipoli, moved to Brindisi in 2020, part of Puglia's gay-friendly environment, part of three annual Pride parades in Puglia",,,,,,,,,,,,,,,,,Salento Pride
San Francisco Pride,1970,"Celebrates LGBT people and allies, largest gathering of LGBT people in the nation, world-renowned parade","San Francisco, California","LGBT community, allies",Annually in June,"49th annual parade in 2019 with 289 contingents, parade route along Market Street, hundreds of thousands of spectators, two-day festival around the parade",,,,,,,,,,,,,,,,,San Francisco Pride
San Francisco Transgender Film Festival,1997,"World's oldest transgender film festival, originally named Tranny Fest, co-founded by Christopher Lee and Alex Austin, Elise Hurwitz as technical director","San Francisco, California","Christopher Lee, Alex Austin, Elise Hurwitz",Annually,"Originally organized by volunteers without government or private funding, held biennially until 2005, transformed into an annual event due to audience demand, held in various venues before settling at the Roxie Theater in 2013",,,,,,,,,,,,,,,,,San Francisco Transgender Film Festival
Seksualiti Merdeka,2008,"Sexuality rights festival featuring talks, forums, workshops, art, music, and film screenings, loosely translated as ""Sexuality Independence,"" banned in 2011","Kuala Lumpur, Malaysia","Pang Khee Teik, Jerome Kugan",Annually,"Founded in 2008 coinciding with Merdeka celebrations, theme of ""Our Bodies, Our Rights"" in 2009, banned in 2011 due to potential public disorder",,,,,,,,,,,,,,,,,Seksualiti Merdeka
Shanghai Pride,2009,"First and largest LGBT event in mainland China, held from 2009 to 2020, featured cultural events, art exhibitions, film screenings, and parties","Shanghai, China","Tiffany Lemay, Hannah Miller, Shanghai LGBT community",Annually,"Organized by volunteers, initially framed as a private festival without a public parade to avoid official attention, celebrated 10th year in 2018, ended in 2020",,,,,,,,,,,,,,,,,Shanghai Pride
Shanghai Queer Film Festival,2017,"Annual LGBT film festival in Shanghai, founded in 2017, volunteer-run, focuses on Asian film, promotes diversity and dialogue","Shanghai, China","Tingting Shi, Yu Jing",Annually,"First held in September 2017, aims to showcase queer Asian characters, encourage discussion on queer culture in the East, represents diversity in love and freedom",,,,,,,,,,,,,,,,,Shanghai Queer Film Festival
ShanghaiPRIDE Film Festival,2015,"Established to promote tolerance for the LGBT community through film, part of ShanghaiPRIDE, free screenings, workshops, and discussions","Shanghai, China","Filmmakers, Shanghai arts scene",Annually in June,"Launched in 2015, supports new queer Chinese filmmaking talent, part of ShanghaiPRIDE, features workshops and panel discussions",,,,,,,,,,,,,,,,,ShanghaiPRIDE Film Festival
Sofia Pride,2008,"Peaceful march of LGBT individuals and allies, combines social and political protest with entertainment, held since 2008, inspired by Stonewall riots, significant human rights demonstration in Bulgaria","Sofia, Bulgaria","BGO Gemini, ""Action"" organization, volunteers, NGOs",Annually in June,"First parade in 2008, held on same date as Stonewall riots, legalizing same-sex activity in 1968, post-communism gay venues emerged, polarizing event, supported by national and international partners, organized by volunteers and NGOs",,,,,,,,,,,,,,,,,Sofia Pride
The Way OUT West Film Fest,2003,"Showcases gay and lesbian films from around the world, includes Q&A sessions, after-parties, and various events, produced by Closet Cinema, aims to highlight the LGBT experience","Albuquerque, New Mexico and Santa Fe, New Mexico",Closet Cinema,Annually in late September to early October,"Founded in 2003, expanded to Santa Fe, concurrent screenings in Albuquerque and Santa Fe, films from various genres and origins, selection process through private screenings and film festivals",,,,,,,,,,,,,,,,,Southwest Gay and Lesbian Film Festival
Split Pride,2011,"Second LGBT pride event in Croatia after Zagreb, organized by NGOs Kontra, Iskorak, and feminist organization 'Dominoes', faced violent opposition from anti-gay protesters, led to cancellation of the event, sparked support for LGBT community","Split, Croatia","NGOs Kontra, Iskorak, feminist organization 'Dominoes'",Annually,"First event in 2011, concerns about public reaction in conservative city, 300 participants, police accused of inadequate protection, violent riot with 10,000 anti-gay protesters, activists led to safety, support campaign led to Zagreb Pride participation, meeting with President Ivo Josipović, 10th Zagreb Pride march with 4,000 participants, largest Pride rally in Croatia at the time, peaceful event with police protection",,,,,,,,,,,,,,,,,Split Pride
Swansea Pride,2009,"South West Wales LGBT festival, first event in 2009, organised by local LGBT individuals, raised money for Terrence Higgins Trust, became a registered charity in 2010","Swansea, Wales","Gayswansea.com, local volunteers",Annually,"First event in 2009, successful fundraising for charity, transition to registered charity in 2010, name change to Spectrum South West Wales in 2013, cancellation in 2015 due to financial difficulties, revival in 2016 with new volunteers",,,,,,,,,,,,,,,,,Swansea Pride
Sápmi Pride,2014,"Pride festival with Sápmi focus, organized by Queering Sápmi, features performances, workshops, and parades in different Sápmi regions","Kiruna, Lapland, Karasjok, Inari, Östersund",Queering Sápmi,Annually,"Started in 2014 in Kiruna, Lapland, traveled to Karasjok, Inari, and Östersund in subsequent years, showcases Sápmi culture and LGBTQ+ visibility",,,,,,,,,,,,,,,,,S谩pmi Pride
Taiwan Pride,2003,"Largest LGBTQ pride parade in East Asia, held in Taipei, attracts over 200,000 participants, organized by Taiwan LGBT Pride Community","Taipei, Taiwan",Taiwan LGBT Pride Community,Annually in October,"First held in 2003, largest pride event in Asia, social movement focus, little corporate sponsorship, shares road with traffic and bystanders",,,,,,,,,,,,,,,,,Taiwan Pride
Teddy Award,1987,"International film award for LGBT-themed films, presented by independent jury, part of Berlinale, founded by Wieland Speck and Manfred Salzgeber, named after teddy bear trophy","Berlin, Germany","Wieland Speck, Manfred Salzgeber",Annually during Berlin International Film Festival,"Founded in 1987, initially named Teddy Bear Award, awarded to feature, short, and documentary films, celebrated 30th anniversary with ""Teddy30"" lineup in 2016",,,,,,,,,,,,,,,,,Teddy Award
Tel Aviv Pride,1993,"Largest LGBTQ Parade in Asia, attracts over 250,000 attendees, marks progress of gay rights in Israel from criminalization to decriminalization in 1988, first Pride event in 1993","Tel Aviv, Israel","LGBTQ community, organizers",Annually in June,"First Pride Parade in 1993, attracts 200,000+ participants, significant event in LGBTQ rights movement in Israel",,,,,,,,,,,,,,,,,Tel Aviv Pride
Transgender Awareness Week,N/A,"One-week celebration leading up to Transgender Day of Remembrance (TDoR) on November 20, educates about transgender and gender non-conforming individuals, hosts educational events, first week of November typically features third-party events, second week focuses on main central venue",Global,"Transgender advocates, community organizers",Annually in November,"Educational events include movie screenings (e.g., Paris is Burning), personal testimonies, discussions on trans-themed books, art shows, and performances, expanded to month-long celebration in San Francisco in 2018, commendations by San Francisco Board of Supervisors in 2019",,,,,,,,,,,,,,,,,Transgender Awareness Week
Transgender Day of Remembrance,1999,"Memorializes those murdered due to transphobia, founded to draw attention to violence against transgender individuals, Gwendolyn Ann Smith among founders",Global,"Gwendolyn Ann Smith, small group",Annually on Nov 20,"Founded in response to Rita Hester's murder, observed in over 185 cities in 2010, includes reading of names of victims, various memorial activities",,,,,,,,,,,,,,,,,Transgender Day of Remembrance
Twin Cities Pride,1972,"Nonprofit organization hosting LGBT celebration, features pride parade, festival, and block party, draws nearly 400,000 attendees, named after Ashley Rukes, began as 50-person protest march in 1972","Minneapolis and St. Paul, Minnesota","LGBT community, Ashley Rukes",Annually in June,"Inception as protest march in 1972, expansion of events in 1990s, name changes to include bisexual and transgender, addition of music stages in mid-1990s, diverse activities in mid-2010s",,,,,,,,,,,,,,,,,Twin Cities Pride
UK Black Pride,2005,"Europe's largest celebration for African, Asian, Middle Eastern, Latin American, and Caribbean heritage LGBTQ+ individuals, founded by Phyllis Akua Opoku-Gyimah, attracts nearly 8,000 annually","London, England",Phyllis Akua Opoku-Gyimah,Annually,"Started in 2005 as a day trip to Southend-on-Sea, approximately 7,500 attendees in 2018, partnered with Stonewall in 2019, featured in British Vogue interview in 2019",,,,,,,,,,,,,,,,,UK Black Pride
Utah Pride Festival,1977,"Celebrates Utah's diversity and LGBTQ+ community, includes parade, film festival, Dyke March, interfaith service, charity run, and related events","Salt Lake City, Utah","Utah Pride Center, Salt Lake Coalition for Human Rights, Affirmation: LGBTQ Mormons, Families, & Friends, Utah Pride Inc.",Annually in June,"Started in 1977, evolved from a three-day conference, various activities and speakers, significant LGBTQ+ organizations involved",,,,,,,,,,,,,,,,,Utah Pride Festival
Varese Pride,2016,"Pride parade in Varese, Italy, one of three in Lombardy, member of InterPride and EPOA, first event had 3,000 participants","Varese, Italy",Arcigay Varese,Annually,"First event in 2016, patronage from various organizations except Municipality of Varese, slogan ""Esistiamo"" meaning Resist and exist",,,,,,,,,,,,,,,,,Varese Pride
Vienna Pride,1982,"Austrian pride parade, Rainbow Parade on Vienna Ring Road, first event in 1982, organised by HOSI Wien, established as regular event in 1996, managed by CSD Wien until 2001, currently organised by HOSI Wien","Vienna, Austria","HOSI Wien, Austrian Lesbian and Gay Forum, CSD Wien, HOSI Vienna",Annually in June/July,"First gay rights festival in 1982, first Pride parade in 1984, Europride host in 2001 and 2019, Vienna Pride Village, Vienna Pride Run started in 2018",,,,,,,,,,,,,,,,,Vienna Pride
March against Homophobia and Transphobia,2003,"LGBT pride parade and demonstration in Ankara, Turkey, held annually to mark the end of Ankara pride week, participants gather in Cebeci, important public space in Ankara","Ankara, Turkey","LGBT community, local supporters",Annually in June-July,"First event in 2003, occurs on last Sunday of June or first Sunday of July, aims to raise awareness about LGBT rights, part of Ankara's cultural events",,,,,,,,,,,,,,,,,Walking against Homophobia and Transphobia
World Outgames,2006,"Sporting and cultural event open to all, licensed by the Gay and Lesbian International Sport Association, separate from the Gay Games, 18,599 participants in 2006","Montreal, Quebec, Canada","Gay and Lesbian International Sport Association, Montreal, Quebec, Canada, various sponsors",Held once in 2006,"Developed as a response to the 2006 Gay Games controversy, held in Montreal with significant international participation",,,,,,,,,,,,,,,,,World OutGames
WorldPride,2000,"Promotes LGBTQ issues internationally, organized by InterPride, host cities selected annually, largest LGBTQ Pride event for the year",Global,"InterPride, member organizations",Varies,"Inaugural event in Rome faced controversy due to opposition from the Vatican and conservative politicians, significant impact on LGBTQ visibility and advocacy efforts",,,,,,,,,,,,,,,,,WorldPride
Zagreb Pride,2002,"First successful pride march in Southeast Europe, inspired by Stonewall Riots and Gay Liberation Front, self-identified as LGBTIQ+ march, name changed in 2003, organized by volunteer-based committee, supported by various organizations, member of InterPride, EPOA, IGLYO, ILGA-Europe, founding member of Center for LGBT Equality, funded by City of Zagreb and international organizations","Zagreb, Croatia","Volunteer-based committee, Multimedia Institute, Iskorak, Kontra, CMS, InterPride, EPOA, IGLYO, ILGA-Europe, Center for LGBT Equality",Annually,"First march in 2002, name change in 2003, logistical support from various organizations, establishment of NGO in 2008, member of multiple LGBT organizations, founding member of national LGBT association, funding sources, annual march and Pride Week events since 2011",,,,,,,,,,,,,,,,,Zagreb Pride
