Event,Start Date,Locations Affected,Casualties,Significant Impacts,Contributing Factors,End Date,Displaced People,Missing Persons,Houses Destroyed,Crops Inundated,Total Damages (Yuan),States Affected,Estimated Damages,Evacuees,Injured Individuals,trigger
2014 Kashmir Floods,September 2014,"Jammu and Kashmir, Azad Kashmir, Gilgit-Baltistan, Punjab, India, Pakistan",557 deaths,"Heavy rainfall, flooding, landslides, villages submerged, property loss, infrastructure damage","Torrential rainfall, monsoon season, rivers flowing above danger mark, inadequate drainage systems",N/A,,,,,,,,,,2014 India–Pakistan floods
2014 South Korea Floods,18 Aug 2014,"Honam, Yeongnam, Jeju Island, Yangsan, Geoje, Busan, Gyeonggi, Gangwon, Gyeongbuk, Yeongcheon, Daegu",10 deaths,"Widespread flooding, accidents, sand-collapsing incidents, reservoir destruction, bus accident","Unusual heavy rainfall in August, movement between North Pacific High and Siberian High, weakening and strengthening of rainfall, ground saturation",21 Aug 2014,,,,,,,,,,2014 South Korea floods
2014 Southeastern and Central Europe Floods,13 May 2014,"Serbia, Bosnia and Herzegovina, Croatia, Romania, Slovakia",62 deaths,"Devastating floods, landslides, 2,000 landslides, towns inundated, rivers flooded, extensive damage, international aid campaign","Low-pressure cyclone Tamara and Yvette, heaviest rain in 120 years, polar air meeting subtropical air",18 May 2014,Over 1.6 million people,,,,,,,,,2014 Southeast Europe floods
2014 Southeast Asia Floods,14 Dec 2014,"Indonesia, West Malaysia, Southern Thailand, Sri Lanka",,"Massive evacuations, river overflow, full moon and northeast monsoon winds, damage to farmland and houses","Climate change, storm pattern unpredictability, development without environmental care",,,,,,,,,"100,000 (Indonesia), 200,000 (Malaysia), several thousand (Thailand), 1,100,000 (Sri Lanka)",,2014–15 floods in Southeast Asia and South Asia
2015 Accra Floods,1 June 2015,"Accra, Ghana",225 deaths,"Heavy traffic, commercial activities halted, markets flooded, workers trapped, petrol station explosion","Heavy continuous rainfall, improper settlement planning, choked drainage system, human factors",,,,,,,,,,,2015 Accra floods
2015 Myanmar Floods,July 2015,"12 states in Myanmar, including Magway Division, Sagaing Division, Chin State, Rakhine State",103 deaths,"Destruction of farmland, roads, rail tracks, bridges, houses, displacement of 1,000,000 people","Unusually heavy monsoon rain, mismanagement of irrigation projects, deforestation, Cyclone Komen",September 2015,,,,,,,,,,2015 Myanmar floods
2015 Northern Chile Floods,March 2015,"Antofagasta, Atacama, Coquimbo regions",26 deaths,"Severe damage in several towns, 28,000 houses damaged, 105 houses destroyed, 5,900 houses severely damaged","Unseasonal heavy rains, flash floods, mudflows, unusual cold front, heavy rainfall from Andes",Ongoing,"27,413 affected",101 missing,,,,,,,,2015 Northern Chile floods and mudflow
2015 South India Floods,November-December 2015,"Tamil Nadu, Andhra Pradesh",500+ deaths,"Costliest disaster of 2015, damages ranging from ₹200 billion to over ₹1 trillion, attributed to 2014-16 El Niño event","Heavy rainfall from annual northeast monsoon, man-made disaster categorization, excessive rainfall during northeast monsoon, impact on coastal districts",N/A,1.8 million displaced,,,,,,,,,2015 South Indian floods
2015 Southeast Africa Floods,"January 14, 2015","Malawi, Mozambique, Madagascar","176 deaths in Malawi, 86 deaths in Mozambique, at least 46 deaths in Madagascar","Soil saturation leading to landslides, 150% higher rainfall than normal, flooding of 63,000 hectares","Cyclone Bansi, Tropical Storm Chedza, El Niño effects, complex rainfall patterns in Africa","January 31, 2015","Over 200,000 displaced in Malawi, 400,000 displaced in total",153 missing,,,,,,,,2015 Southeast Africa floods
2015 Tanzania Flood,4 March 2015,"Shinyanga Region, Tanzania",50 deaths,"82 wounded, 3,500 affected, houses damaged, blocked roads, farmland devastation, impact on crops and livestock","Occurred during Tanzania's rainy season, heavy rainfall, hail, strong winds",,,,,,,,,,,2015 Tanzania flood
2015 Tbilisi Flood,June 2015,"Tbilisi, Georgia",20 deaths,"Significant flooding, damage to Tbilisi Zoo, landslides, casualties, missing persons, animal escapes","Heavy rainfall, flash floods, periodic flooding history, landslide, damming of Vere River",Ongoing,,,,,,,,,,2015 Tbilisi flood
2016 Accra Floods,"June 9, 2016","Accra, Ghana",10 deaths,"Heavy rainfalls, flooding in the capital, casualties reported",,,,,,,,,,,,2016 Accra floods
2016 China Floods,Mid-June 2016,"Southern China, areas along Yangtze River and Huai River, 26 provinces",200+ deaths,"32 million people affected, $5.73 billion in damage, $22 billion damage estimate, 23,600 houses destroyed, 3,600 homeless refugees","Heavy rainfall, thunderstorms, hail, meiyu front, post-El Niño summers, EF4 tornado, economic losses",Ongoing,,,,,,,,,,2016 China floods
2016 Egypt Flood,Late Oct 2016,"Assuit, Red Sea, Sohag, South Sinai, Qena",26 deaths,"72 injured, significant damage, flood-related incidents, stub article on Wikipedia","Heavy rainfall, flood-prone areas, lack of infrastructure, stub article on Wikipedia",Early Nov 2016,,,,,,,,,,2016 Egypt flood
2016 Ethiopia Floods,2016,"Jijiga, Dire Dawa, Amhara, Afar, Somali, Tigray, Gambella, Oromia, Harari regions",28 deaths,"Heavy downpours, flash floods, river floods, destruction of property, loss of livestock, agricultural damage","Early seasonal rains, La Niña episodes, historical flood event years, transboundary rivers, La Niña events, El Niño effects",N/A,"200,000 homeless",Not specified,,,,,,,,2016 Ethiopia flood
2016 European Floods,Late May 2016,"Germany, France, Austria, Belgium, Romania, Moldova, Netherlands, United Kingdom",At least 21 deaths,"High water and flooding along rivers and tributaries, severe impact on villages and towns, infrastructure damage","Heavy rain, flooding along major rivers, flash floods, inadequate drainage systems",,,,,,,,,,,2016 European floods
2016 Louisiana Floods,August 2016,"Louisiana, United States",60 deaths,"Thousands of houses and businesses submerged, record levels of rivers and waterways, rainfall exceeding 20 inches in multiple parishes, worst US natural disaster since Hurricane Sandy in 2012","Prolonged rainfall from an unpredictable storm, historic and unprecedented flooding event, state of emergency declared, federal disaster aid provided, mesoscale convective system, stationary weak area of low pressure, torrential downpours, rainfall rates of up to 2–3 inches an hour, accumulations peaking at 31.39 inches in Watson, equivalent of 7.1 trillion gallons of water dumped, 1-in-1,000-year event according to National Weather Service",Ongoing,,,,,,,,,,2016 Louisiana floods
2016 Macedonia Floods,6 August 2016,"Skopje, western and northwestern parts of the country",21 deaths,"Strong winds, flooding, 93 litres per square metre of rain in two hours, water levels reaching 1.5 metres, 800 lightning strikes, state of emergency declared","Heavy rainfall, strong winds, flooding, 800 lightning strikes, state of emergency declared",N/A,,,,,,,,,,2016 Macedonian floods
2016 Niger Floods,June-August 2016,"Niger, other countries along the Niger River's path",38 deaths,"Material damage, loss of life, extreme flooding of rivers, rise in river levels, thousands homeless","Uncommon extreme rain events, intense rainy periods in Guinea and Mali, high river levels since 1964",Ongoing,,,,,,,,,,2016 Niger flood
2016 North Korean Floods,Late August 2016,"North Hamgyong Province, North Korea",525 deaths,"Destruction of 35,000+ homes, displacement of 100,000+ people, Tumen River flooding, severe devastation","Typhoon Lionrock, Tumen River overflow, merging with low-pressure system, heavy rainfall",N/A,,,,,,,,,,2016 North Korean floods
2021 Pakistan Floods,"April 3, 2021, August 2021","Khyber Pakhtunkhwa, Southern Asia",153 deaths,"150 homes destroyed, deadly landslides, washed away bridges and roads, crop loss, bus disaster","Heavy rainfall, pre-monsoon season, poor infrastructure, deadly landslides",,,,,,,,,,,2016 Pakistan flood
2016 Sri Lanka Floods,14 May 2016,Sri Lanka,101 deaths,"Half a million affected, floods, landslides, severe weather advisory, displacement of families, flight diversions","Low pressure area over Bay of Bengal, torrential rain, depression off south-east Sri Lanka, rough seas, landslide warnings",,,100 missing,,,,,,,,2016 Sri Lankan floods
2021 São Paulo Floods,"March 10-11, 2021","São Paulo, Brazil",21 deaths,"Record rainfall levels, flooding, mudslides, road closures, airport closure, commuter train disruptions",Heavy rain after months of drought,,,,,,,,,,,2016 S茫o Paulo flood and mudslide
2016 Vietnam Floods,N/A,Central Vietnam,13 deaths,"27,000 homes submerged by rising water, 2016 Asian monsoon, El Niño, reminiscent of 2008 Vietnam floods","Strong 2016 Asian monsoon, El Niño effect, previous flooding in 2008",N/A,,,,,,,,,,2016 Vietnam floods
2016 West Virginia Floods,"June 23, 2016",West Virginia and nearby parts of Virginia,23 deaths,"Deadliest flash flood event in the U.S. since 2010, 8-10 inches of rain in 12 hours, widespread and destructive flash floods","1,000-year event for parts of Kanawha, Fayette, Nicholas, Summers, and Greenbrier counties, EF1 tornado, Elk River rose to all-time high",,,,,,,,,,,2016 West Virginia flood
2016-2017 Zimbabwe Floods,December 2016,Zimbabwe,"At least 250 deaths, 128 injuries","2,000 people homeless, 70 bridges swept away, declared a national disaster by President Mugabe","Severe drought followed by flooding, extensive damage to infrastructure",March 2017,,,,,,,,,,2016–17 Zimbabwe floods
2017 Bihar Floods,"August 12, 2017","19 districts of North Bihar - Kishanganj, Araria, Purnia, Katihar, Eastern Champaran, Western Champaran, Darbhanga, Madhubani, Muzaffarpur, Sitamadhi, Shivar, Samastipur, Gopalganj, Saran, Siwan, Supaul, Madhepura, Saharsa, Khagaria",514 deaths,"Excess heavy rainfall, flash floods, torrential rain in foothills of Himalayas in Nepal and Bihar, breaking a 9-year death record",,"August 20, 2017",8.5 lakh people,,,,,,,,,2017 Bihar flood
2017 China Floods,June 2017,"10 provinces and regions in China - Guangxi, Guangdong, Hunan, Hubei, Jiangxi, Jiangsu, Anhui, Zhejiang, Shandong, Shaanxi, Yunnan, Sichuan, Gansu, Henan",48 deaths,"Widespread flooding, destruction of houses and crops, major rivers and lakes flooded, traffic disruption","Sustained heavy rainfall, water levels above warning levels, economic losses, record flood stages",Ongoing,,,,,,,,,,2017 China floods
2017 Gujarat Floods,1 June 2017,"Gujarat, Rajasthan",224 deaths,"Severe flooding, 16 deaths in Rajasthan, excess rainfall, low-pressure systems, heavy rain from 21 to 25 July","Simultaneous low pressure systems over Arabian Sea and Bay of Bengal, heavy rainfall in July, above-average rainfall in various districts",31 July 2017,,,,,,,,,,2017 Gujarat flood
2017 Karachi Floods,28-08-2017,Karachi,23 deaths,"Deaths mostly from electrocution, caused by monsoon rain, rescue efforts by Army, Navy, and welfare organizations","Monsoon rain, electrocution, rescue operations",,,,,,,,,,,2017 Karachi floods
2017 Mumbai Flood,29 August 2017,Mumbai,14 deaths,"Transport systems shut down, power outage, building collapse, 468 mm rainfall in 12 hours, climate change impact","Heavy rainfall, climate change, government response shortcomings",,,,,,,,,,,2017 Mumbai flood
2017 Northwest Iran Floods,"April 14, 2017","East Azerbaijan, West Azerbaijan, Kordestan, Zanjan",40+ deaths,"Flash floods, casualties, destruction, heavy rainfall, strong winds","Heavy rain, strong winds, lack of flood warning systems",,,,,,,,,,,2017 Northwest Iran floods
2017 Payson Flash Floods,"July 15, 2017","Water Wheel Falls Hiking Trail, Tonto National Forest, Payson, Arizona",10 deaths,"10 members of an extended family killed, flash floods, birthday party celebration turned tragic, rescue operations, North American Monsoon","Heavy rains, North American Monsoon, flash flooding, rescue operations",,,,,,,,,,,2017 Payson flash floods
2017 Southern Thailand Floods,December 2016,"Southern Thailand, Kelantan, Terengganu states in Malaysia",91 deaths,"120 billion baht in damages, impact on agriculture, tourism, infrastructure, rubber supply affected","Regional annual monsoon season, biggest floods in over 30 years, distinct from other parts of the country, mirror Malay Peninsula",Early 2017,,,,,,,,,,2017 Southern Thailand floods
2017 West Bengal Floods,July 2017,"West Bengal, Jharkhand",58 deaths,"Severe flooding, villages submerged, rivers flowing above danger level, record rainfall, DVC dams releasing excess water","Heavy rain, Land Depression 01, poor maintenance of dams, excessive water discharge from DVC dams",,,,,,,,,,,2017 West Bengal floods
2018 East Africa Floods,March 2018,"Kenya, Ethiopia, Uganda, Rwanda, Somalia, Djibouti, Burundi",500 deaths,"Massive flooding, landslides, dam failures, record rainfall, destruction of houses and infrastructure","Excessive rains, severe drought preceding the floods, overflow of dams, record-breaking rainfall",Ongoing,Hundreds of thousands displaced,Not specified,,,,,,,,2018 East Africa floods
2018 European Floods,4 Oct 2018,"Calabria (Italy), Mallorca (Spain), Southwest France, Sardinia (Italy), Portugal, United Kingdom",69 deaths,"Flash floods, landslides, strong winds, Venice flooding, Dolomites landslides, communication disruption","Heavy rainfall, high tides, hurricane-force winds, exceptional high tide in Venice",Early Nov 2018,Not specified,1 missing,,,,,,,,2018 European floods
2018 Japan Floods,Late June,15 prefectures in southwestern Japan,225 deaths,"Deadliest freshwater flood-related disaster since 1982, widespread floods, mudflows","Heavy downpours, seasonal Meiyu front, Typhoon Prapiroon, surge of moisture, emergency heavy rain warnings",Mid-July,8 million advised to evacuate,13 missing,,,,,,,,2018 Japan floods
2018 Kerala Floods,16 August 2018,"Kerala, India",483 deaths,"Worst flood in nearly a century, all 14 districts on red alert, Level 3 Calamity, 35 dams opened, severe landslides, isolated hilly districts","Unusually high rainfall during monsoon season, worst flood after 1924, westward-propagating high frequency tropical atmospheric waves",Ongoing,1 million evacuated,15 missing,,,,,,,,2018 Kerala floods
2018 North Korean Floods,28 August 2018,North and South Hwanghae provinces,76 deaths,"Destruction of 800+ buildings, landslides, need for health services, shelter, food, water, sanitation","Heavy rainfall, landslides, Red Cross search and rescue operations",Ongoing,"10,700 homeless",75 missing,,,,,,,,2018 North Korean floods
2018 Sri Lanka Floods,19 May 2018,"19 districts in Sri Lanka - South, Northwest, North, East",21 deaths,"Displacement of 400,000 people, 105 fully damaged houses, 4832 partially damaged houses, overflowing rivers, red alerts issued","Heavy southwest monsoon, annual monsoon season, peak rainfall in May, prevailing winds from south and southwest",Ongoing,"150,000 affected",23 missing,,,,,,,,2018 Sri Lankan southwest monsoon floods
2019 Bihar Floods,July 2019,"13 districts of North Bihar - Araria, Kishanganj, Madhubani, East Champaran, Sitamarhi, Sheohar, Supaul, Darbhanga, Muzaffarpur, Saharsa, Katihar, West Champaran",130 deaths,"1269 panchayats affected, 88.46 lakhs people affected, no deaths reported in West Champaran and Katihar","Heavy rainfall, flooding of rivers, inadequate drainage systems",Ongoing,,,,,,,,,,2019 Bihar floods
2019 Durban Floods,18 April 2019,"Durban, South Africa and surrounding areas",70 deaths,"Collapsed buildings, mudslides, sinkholes, heaviest rainfall in 24-hour period since 1985","Steep upper air trough, low pressure system, cutoff low pressure system, record-breaking rainfall",,,,,,,,,,,2019 Durban Easter floods
2019 Indian Floods,July 2019,"Karnataka, Maharashtra, Kerala, Gujarat, Tamil Nadu, Andhra Pradesh, Telangana, Madhya Pradesh, Goa, Assam, Bihar, Odisha, Himachal Pradesh",200+ deaths,"Displacement of a million people, severe impact on Malappuram, Kozhikode, Wayanad, Ernakulam, Idukki, Thrissur, Palakkad, Kannur, Kasargod, Kochi Airport closure, Sardar Sarovar dam release, Vadodara flooding","Heaviest monsoon in 25 years, heavy rains in multiple states, closure of Kochi Airport, release of water from Sardar Sarovar dam, deployment of NDRF and SDRF teams",August 2019,,,,,,,,,,2019 Indian floods
2019 Iran Floods,March 2019,"Golestan, Fars, Khuzestan, Lorestan, and other provinces",70 deaths,"Widespread flash flooding, overflowed dams, evacuation of villages and cities, damage to infrastructure","Three major waves of rain and flooding, severe floods in 26 provinces, record rainfalls, urban development without proper drainage infrastructure, Nowruz holiday travel, economic damages of $2.2 billion, two million people in need of humanitarian aid",April 2019,Not specified,Not specified,,,,,,,,2019 Iran floods
2019 Papua Flash Flood,16 March 2019,"Jayapura Regency, Papua",113 deaths,"Flash flooding, landslide, 113 fatalities, significant material swept away, environmental damage in Cyclops Mountains","Torrential rain, landslide forming a dam, sudden influx of water, Cyclops Mountains, environmental damage",,,,,,,,,,,2019 Jayapura flood and landslide
2019 Karnataka Floods,1 August 2019,"Coastal and Malnad regions of Karnataka state, including Belagavi, Bijapur, Raichur, Kalburgi, Yadgir, Uttara Kannada",61 deaths,"Thousands evacuated, 6.97 lakh people evacuated, 40,000 houses damaged, 2,000 villages affected","Heavy rainfall, red alert issued, excess water discharge from reservoir, 5 times normal rainfall, land use and soil holding capacity",,7 lakh displaced,,,,,,,,,2019 Karnataka floods
2019 Kerala Floods,8 August 2019,"Northern and Central Kerala, Southern Kerala",121 deaths,"Severe flooding, red alert in 9 districts, orange alert in 3 districts, yellow alert in 2 districts, evacuation of thousands, relief camps","Heavy rainfall in monsoon season, depression over Arabian sea, intense convection, annual monsoon rains, change in wind patterns",,,,,,,,,,,2019 Kerala floods
2019 Nepal Floods,11 July 2019,"Terai area, Kathmandu, Province No. 2, Province No. 1",78 casualties,"Severe flooding, disruption of highways, damage to property and infrastructure",Heavy rainfall from monsoon season,,,,,,,,,,,2019 Nepal floods
2019 Pakistan Floods,February 2019,"Balochistan, Khyber Pakhtunkhwa, Punjab, other provinces","40 in Khyber Pakhtunkhwa, 26 in Balochistan, 9+ in Punjab","Widespread flash flooding, displacement of 1,500+ families, villages and cities evacuated, 300 displaced in Lasbela, casualties due to roof collapses","Three major waves of rain and flooding, first wave on 20 February, flash floods in Lasbela, villages and cities evacuated, camps established by Provincial Disaster Management Authority",April 2019,,,,,,,,,,2019 Pakistan floods and storms
Mid-July 2019 South Asia Floods,Mid-July 2019,"Bangladesh, China, India, Nepal, Assam, Arunachal Pradesh",At least 89 deaths,"Widespread flooding, landslides, displacement of millions, destruction of villages, wildlife impact","Monsoonal downpours, heavy rainfall, overflowing rivers, landslides, refugee camp vulnerability",Ongoing,,,,,,,,,,2019 South Asia floods
2019 South Sulawesi Floods,22 Jan 2019,"South Sulawesi province, particularly Gowa Regency",68 deaths,"Overflowing of Jeneberang River, opening of Bili-Bili Dam watergates, annual flooding, extreme weather warning, dam silting, critical river catchment condition",,Ongoing,"3,321 people evacuated",6 missing,,,,,,,,2019 South Sulawesi floods
2020 Afghanistan Floods,June 2020,"Parwan, Kapisa, Panjshir, Maidan Wardak, Kabul, Nangahar, Nuristan, Logar, Charikar, Paktia, Kapisa",179 deaths,"Hundreds of houses destroyed, casualties in multiple provinces, destruction of infrastructure, flash floods, mudslides","Torrential rain, monsoon season, exacerbated by climate change, heavy rainfall in various provinces",,,,,,,,,,,2020 Afghanistan flood
2020 Assam Floods,May 2020,"Assam, India",123 deaths,"Heavy rainfall, flooding, destruction of infrastructure and crops, landslides, impact of COVID-19 pandemic","Tropical monsoon climate, annual flooding, climate change, extreme rainfall events",Ongoing,"150,000 displaced",Not specified,,,,,,,,2020 Assam floods
2020 Brazil Floods,17 Jan 2020,"Minas Gerais, Espírito Santo, Rio de Janeiro",70 deaths,"Widespread flooding, landslides, displacement of 30,000-46,500 people, highest rainfall in 110 years","Subtropical Storm Kurumí, heavy rainstorms, flash flooding, landslides, first anniversary of 2019 Brumadinho dam disaster",Ongoing,,,,,,,,,,2020 Brazilian floods and mudslides
2020 Central Vietnam Floods,October 2020,"Thừa Thiên Huế, Hà Tĩnh, Quảng Bình, Quảng Trị, Quảng Ngãi, Cambodia, Laos",243 dead or missing,"First IV category disaster alert for heavy rainfall, multiple tropical cyclones, extensive flooding, significant damages","Seasonal monsoon, tropical cyclones (Linfa, Nangka, Ofel, Saudel, Molave), Typhoons Goni, Etau, Vamco, high rainfall accumulations",November 2020,,,,,,,,,,2020 Central Vietnam floods
2020 China Floods,June 2020,"Southern China, Yangtze basin, central and eastern China, 26 provinces, including Guangxi, Guizhou, Sichuan, Hubei, Chongqing, Anhui, Jiangxi, Zhejiang, Hunan, Fujian, Yunnan",219 dead or missing,"Displacement of 744,000 people, economic loss of 178.96 billion CNY, damage to cultural heritage sites, 443 rivers flooded, 33 at record levels","Heavy rains from regional rainy season, worst since 1998, increased vapors from Indian and Pacific oceans, potential impact of climate change",Ongoing,,,,,,,,,,2020 China floods
2020 East Africa Floods,March 2020,"Rwanda, Kenya, Somalia, Burundi, Ethiopia, Uganda, Democratic Republic of Congo, Djibouti, Tanzania",430+ deaths,"Massive flooding, landslides, 700,000 people affected, infrastructure damage, fatalities in Kenya and Rwanda","Excessive rains, heavy rain, flooding, landslides, natural disaster in the African Sahel",,,,,,,,,,,2020 East Africa floods
2020 Hyderabad Floods,October 2020,"Hyderabad, Andhra Pradesh, Telangana, Puducherry, Kerala, Maharashtra, coastal Karnataka",50 deaths,"Flash flooding, record-breaking torrential rain, overflowing reservoirs, delayed monsoon withdrawal","Deep Depression BOB 02, formation into Depression ARB 03, high vertical wind shear, continuous land interaction",Ongoing,,,,,,,,,,2020 Hyderabad floods
2020 Jakarta Floods,1 Jan 2020,Jakarta and its metropolitan area,66 deaths,"Worst flooding since 2007, Ciliwung and Cisadane rivers overflowed, multiple historical flood occurrences","Overnight heavy rain, low-lying areas, high tides coinciding with heavy rain, uncontrolled urban growth",Ongoing,"60,000 displaced",Not specified,,,,,,,,2020 Jakarta floods
2020 Kerala Floods,1 June 2020,"All 14 districts in Kerala, with major incidents in Idukki district and Air India plane crash","104 dead, 40 injured","Loss of lives, livestock, agriculture, property damage of ₹19,000 crore, third consecutive year of severe monsoon flooding","Southwest Summer Monsoon, warm winds from Arabian Sea, high annual rainfall, 5 low pressure systems, cloudbursts, saturated soil structures",18 August 2020,,,,,,,,,,2020 Kerala floods
2020 Kyushu Floods,July 2020,"Kumamoto and Kagoshima, Japan",77 deaths,"15,335 buildings destroyed, damaged, or flooded, record-breaking heavy rain, flooding, landslides","East Asian rainy season, mountainous terrain, global warming, heavy rainfall rates, Japan Meteorological Agency warning levels",,,Approximately 7,,,,,,,,2020 Kyushu floods
2020 Nepal Floods,June 2020,"Myagdi District, Western Nepal","132 dead, 401 fatalities reported","Landslides, flash floods, high casualties, injuries, government failure in flood mitigation","Heavy rains, flooding, landslides, monsoon season",Ongoing,Not specified,53 missing,,,,,,,,2020 Nepal floods
2020 Sudan Floods,September 2020,"17 out of 18 Sudanese states, Blue Nile River, Pyramids of Meroë",100 deaths,"3,000,000 people affected, 100,000 homes destroyed, record water levels in Blue Nile River, threat to archaeological sites","Profuse rainfall, torrential monsoon rains in Ethiopia, rising Nile River levels, climate change effects",,,,,,,,,,,2020 Sudan floods
2020 Yemen Flood,N/A,Yemen,172 deaths,"Damage to homes and UNESCO-listed world heritage sites, 131 deaths in northern governorates, 106 homes destroyed, 156 damaged","Flash flood, 19 children among the casualties, government-held Maʼrib Governorate impacted",N/A,,,,,,,,,,2020 Yemen flood
2021 China Floods,June 2021,Various provinces and regions in China,398 dead or missing,"Rising water levels, floods in multiple rivers, evacuation of thousands, damage to crops and infrastructure","Heavy rainfall, climate change, activation of emergency response systems, landslides, power outages",Ongoing,Not specified,Not specified,,,,,,,,2021 China floods
2021 European Floods,July 2021,"United Kingdom, Austria, Belgium, Croatia, Germany, Italy, Luxembourg, Netherlands, Switzerland",243 deaths,"Widespread damage, power outages, evacuations, infrastructure and agriculture damage, high financial costs","Heavy rainfall, global trends in extreme weather, climate change, storm complex movement",Ongoing,,,,,,,,,,2021 European floods
2021 Henan Province Floods,17 July 2021,"Henan Province, China",398 deaths,"Record-breaking rainfall, severe flooding, underreported deaths, climate change amplification","Subtropical high, continental high-pressure, weak upper-level winds, Typhoon In-fa, mesoscale convections",Ongoing,"815,000 evacuated, 14.5 million affected",Over 50 missing,,,,,,,,2021 Henan floods
2021 Maharashtra Floods,22 July 2021,"Maharashtra, India - 13 districts in western Maharashtra",251 deaths,"Heavy rainfall, landslides, 1,020 affected villages, 28,700 poultry deaths, 2 lakh hectares of crops damaged","Climate change, extreme weather events, monsoon westerlies, low pressure system, warm Arabian Sea moisture influx",Ongoing,"375,000 evacuated",100 missing,,,,,,,,2021 Maharashtra floods
2021 Niger Floods,Mid-June,"Nationwide, with Niamey being the most affected area",62 deaths,"Widespread damage, fatalities in Maradi Region, flooding in 413 communities, 77 communes affected","Heavy rains, flooding caused by heavy rainfall, fatalities due to drowning and falling structures",Ongoing,"105,690 affected",60 injured,,,,,,,,2021 Niger floods
2021 Tennessee Floods,"August 21, 2021","Waverly, Hurricane Mills, Stewart, Houston, Dickson, Humphreys, Hickman, McEwen, Nashville, Franklin",20 fatalities,"Catastrophic flash flooding, widespread destruction of homes and businesses, water rescues, record-breaking rainfall","Stalled frontal boundary, training thunderstorms, high precipitable water values, intense rainfall rates",N/A,Not specified,Not specified,,,,,,,,2021 Tennessee floods
2021 Turkey Floods,7 Aug 2021,"Black Sea region in Turkey, northern Turkey",81 deaths,"4-meter high floods, worst in Turkey's history, 228 injured, 1800 evacuated, 454 buildings damaged","Urbanization, climate change",14 Aug 2021,,,,,,,,,,2021 Turkey floods
2021 Malaysia Floods,16 December 2021,"Eight states across Peninsular Malaysia - Selangor, Pahang, Kuala Lumpur, Hulu Langat, Shah Alam",54 deaths,"Record-high precipitation, worst flood since 2014–2015, compared to 1971 Kuala Lumpur floods, deadliest since 1996 Tropical Storm Greg","Tropical depression, once in a century disaster, delayed government response, climate change implications",Ongoing,"71,000 displaced",2 missing,,,,,,,,2021–2022 Malaysian floods
2022 Eastern Australia Floods,N/A,"South East Queensland, Wide Bay–Burnett, parts of coastal New South Wales, Brisbane, Maryborough, Gympie, Sunshine Coast, Caboolture, Toowoomba, Ipswich, Logan City, Gold Coast, Murwillumbah, Grafton, Byron Bay, Ballina, Lismore, Central Coast, Sydney",22 deaths,"School closures, evacuations, travel advisories, food shortages, supply chain crisis, record-breaking rainfall, flooding surpassing 1974 levels","Low pressure system, moisture from Coral Sea, East Coast Low formation, atmospheric instability",N/A,,,,,,,,,,2022 Eastern Australia floods
2022 KwaZulu-Natal Floods,April 2022,"KwaZulu-Natal, particularly Durban area in southeastern South Africa",435 deaths,"Critical infrastructure impacted, R17 billion in infrastructure damage, national state of disaster declared","Days of heavy rain, La Niña effects, above-average precipitation, intense rainfall, cut-off low pressure system",Ongoing,Several thousand homes damaged or destroyed,Unknown,,,,,,,,2022 KwaZulu-Natal floods
2022 Petrópolis Floods,15 Feb 2022,"Petrópolis, Rio de Janeiro, Brazil",231 deaths,"Mudslides, flooding, destruction of parts of the city, poor drainage, deforestation, inadequate dissemination of landslide risk reports, lack of action on high-risk house survey, insufficient funding, intense rainfall, unusually high amount of rain in three hours","Intense rainfall, poor drainage, deforestation, inadequate dissemination of risk reports, lack of action on high-risk house survey, insufficient funding, National Natural Disaster Alert Monitoring Center issuing a moderate risk alert",,,,,,,,,,,2022 Petr贸polis floods
2010 Rio de Janeiro Floods,April 2010,"Rio de Janeiro, Niterói, São Gonçalo, Paracambi, Engenheiro Paulo de Frontin, Magé, Nilópolis, Petrópolis",212 deaths,"$23.76 billion reais in damages, 10,000 homes at risk from mudslides, 60 deaths in Rio de Janeiro city, states of emergency declared in multiple municipalities","Heavy rainfall, 28.8 cm of rain in 24 hours, equivalent to 300,000 Olympic swimming pools, shanty towns at risk from mudslides",N/A,"15,000 homeless",Not specified,,,,,,,,April 2010 Rio de Janeiro floods and mudslides
Autumn 2000 UK Floods,October 2000,"United Kingdom, Kent, Sussex, Shropshire, Worcestershire, Yorkshire",Not specified,"Severe nationwide flooding, 10,000 homes flooded in 700 locations, peak flows on major rivers highest in 60 years, River Ouse at highest level since 17th century","Wettest Autumn on record, double average rainfall in Atlantic Europe, extratropical cyclones, jet stream position, thunderstorms along stationary front",November 2000,,,,,,,,,,Autumn 2000 Western Europe floods
2000 Madagascar Floods,February 2000,Madagascar,Not specified,"Severe flooding, Cyclone Leon-Eline and Severe Tropical Storm Gloria, landfall near Mahanoro, southwestward movement, tropical disturbance, end of drought conditions, heavy rainfall, damage, annual rainfall in 36 hours, Tropical Cyclone Leon formation, fluctuating strength, landfall near Mahanoro, rapid weakening, restrengthening in Mozambique Channel, damaging landfall in Mozambique, cholera epidemic","Cyclone Leon-Eline, Severe Tropical Storm Gloria, tropical disturbance, heavy rainfall, landfall events, fluctuating storm strength, rapid weakening and restrengthening, cholera epidemic",March 2000,,,,,,,,,,Early 2000 Madagascar floods
