Date,Location,Casualties,Cause,Impact,Injuries,Additional Information,Key Information,Locations,Causes/Suspected Causes,Government Response,Denial of Reports,Impact on Facilities,Alleged Involvement of Foreign Entities,Retaliation Vow,Specific Incidents,Official Explanation,Event,trigger
"June 3, 2020","Dahej, Gujarat, India","5 killed, 57 injured",Chemical factory explosion,"Explosion at Yashashvi Rasayan Pvt. Ltd. chemical factory, time of explosion, explosion details, fatalities, injuries, Wikipedia stub for disaster management, expansion of article needed",-,,,,,,,,,,,,,2020 Dahej chemical plant explosion
"January 24, 2020","Houston, Texas, United States","3 deaths, 18 minor injuries",Building explosion at Watson Grinding and Manufacturing,"Debris scattered half a mile, 200 nearby houses and businesses damaged, absence of zoning ordinances, employees' deaths, homes blasted off foundations, Red Cross shelter, schools closed, ATF assistance, lawsuits filed, bankruptcy filing, suspected gas leak from propylene tank",-,"Wikipedia stub for Houston-related article, expansion needed",,,,,,,,,,,,2020 Houston explosion
"April 29, 2020","Icheon, South Korea","39 killed, 10 injured",Major fire at construction site,"Victims' work status, building floors, lack of safety measures, workers in sub-basement, explosions, investigation launch",Carbon monoxide poisoning,"Autopsies, blood samples, irregular/subcontract workers, absence of sprinklers, previous fire incident in Icheon",,,,,,,,,,,,2020 Icheon fire
"June 25, 2020",,"19 people killed (15 women, 4 men)",,,,,,"Advanced centrifuge assembly facility, missile sites, petrochemical centers, power plants, medical clinics","Undetermined, Israeli cyber attacks, covert US and Israeli strikes","Denial of missile site explosions, acknowledgment of damage to Natanz nuclear enrichment facility",-,"Damage to largest nuclear enrichment facility in Natanz, explosion in Parchin, power outage in Shiraz","Israeli cyber attacks, covert US and Israeli strikes",Vowed to retaliate if sabotage confirmed in Natanz nuclear facility,"Explosion in Parchin, power outage in Shiraz, explosion at Sina At'har health center in Tehran",Leak from medical gas tanks in Sina At'har health center building,,2020 Iran explosions
"September 4, 2020","Narayanganj District, Bangladesh","At least 31 killed, dozens injured",Gas leak explosion in Baitus Salat Jame mosque,"Explosion in mosque, air conditioning units exploded, presumed gas leak, underground pipeline, power outages, surge of electricity, sparks, Wikipedia stub for disaster management",-,,,,,,,,,,,,,2020 Narayanganj explosion
"January 23, 2020","Villa El Salvador, Lima, Peru","1 dead, several injured","Gas leak from truck transporting LPG, explosion","Fires affecting 20 homes and vehicles, accident details, truck company (Transgas), accident location, time, security camera footage, driver's actions, deflagration cause, response to incident",-,,,,,,,,,,,,,2020 Villa El Salvador explosion
"August 10, 2020","Volgograd, Russia",-,Gas station explosion,"Large explosion felt kilometers away, 70 firefighters and robot extinguished fire, viral video on social media",13,"Afternoon explosion, fire outbreak, firefighters' response, staff evacuation, shockwave injuries, fireball, social media video sharing",,,,,,,,,,,,2020 Volgograd explosion
"March 29, 2021","Indramayu, West Java, Indonesia","1 dead, 5 seriously injured, 15 slightly injured, 3 missing",Oil refinery explosion and fire,"Shutdown of refinery operations, no expected fuel supply disruptions, call for investigation by Greenpeace",-,"Pertamina-owned Balongan oil refinery, President Director's statement, high volume of fuel stock, Greenpeace's request for investigation",,,,,,,,,,,,2021 Balongan refinery explosion
"March 7, 2021","Nkoantoma, Bata, Equatorial Guinea","At least 107 killed, 613+ injured",Series of explosions at military barracks,"Explosions at Cuartel Militar de Nkoantoma, President's attribution, time of explosions, Ministry of Health declaration, hospitals admitting injured, UN analysis of damage, doubts on farming theory",Significant infrastructural damage,,,,,,,,,,,,,2021 Bata explosions
"February 23, 2021","Cameron, Texas, United States",None reported,"Tractor-trailer truck collision with BNSF freight train carrying chemicals and fuels, explosion, fire","Evacuation of nearby homes, structure burned, international news coverage, Wikipedia stub for disaster management, Texas-related article, United States history article",None reported,,,,,,,,,,,,,"2021 Cameron, Texas explosion"
"July 27, 2021","Leverkusen, Germany","7 killed, 31 injured",Explosion at Chempark chemical industrial park,"Fire in storage tanks for solvents, air pollution measurements, toxic fallout from smoke cloud, warning to residents, casualties were workers at the site",-,"Cologne fire department, environment department of North Rhine-Westphalia, dioxin, PCB, furan, German history article stub",,,,,,,,,,,,2021 Leverkusen explosion
"January 20, 2021","Calle de Toledo, Madrid, Spain","4 killed, 10 injured",Gas leak explosion,"Building partially collapsed, four fatalities, ten wounded, gas leak origin, residence for priests, homeless meals, explosion time, nearby school and nursing home impact, Spanish history-related article stub",1 critical condition,,,,,,,,,,,,,2021 Madrid explosion
"December 11, 2021","Ravanusa, Italy","9 killed, 2 injured","Gas leak explosion, building collapse","Collapse of four buildings, three damaged, displacement of 100 people, victims found dead and injured in subsequent days, strong gas smell reported before blast",11 missing,"Four victims from same family, details on missing persons, search and rescue operations, gas leak detection measures, building safety protocols",,,,,,,,,,,,2021 Ravanusa explosion
"June 13, 2021","Yanhu Community, Checheng Road Subdistrict, Zhangwan District, Shiyan, Hubei, China",25 deaths,Gas explosion at market,"Market collapse, locals trapped, explosion time, rescue operations, firefighters involved",138 injuries,"173 firefighters, building severely damaged, CGTN report, Wikipedia stub for China-related event, disaster management stub",,,,,,,,,,,,2021 Shiyan pipeline explosion
"January 20, 2022","Tarkwa-Bogoso-Ayamfuri road, Western Region, Ghana","13 killed, 200 injured",Truck transporting mining explosives collision,"Explosion after collision, truck transporting 10 tons of mining explosives, motorcycle collision, truck route, explosion time, emergency services response, police escort, disputed escort account, nearby witnesses, blast impact, Apiate village destruction, building damage, trapped individuals, displaced residents, damaged vehicles",45 in-patient treatments,"Maxam-operated truck, Kinross Gold-owned Chirano Gold Mine, collision time, crater size, National Disaster Management Organization report, shelter shortage, road vehicle damage",,,,,,,,,,,,2022 Bogoso explosion
"May 23, 1984","Abbeystead, Lancashire, England","16 killed, 26 injured",Methane gas explosion at waterworks' valve house,"Explosion during public presentation, visitors attending demonstration, concrete roof collapse, gas seepage from coal deposits, empty pipeline, cause of ignition unknown",-,"North West Water Authority, Lancashire conjunctive use scheme, water supply project, River Lune, River Wyre, flooding concerns, official inquiry findings",,,,,,,,,,,,Abbeystead disaster
"March 10, 1930","Allerton Bywater, England","5 miners, 1 pit pony",Mining accident - Allerton Bywater colliery explosion,"Owned by Airedale Collieries Ltd., occurred in Old East District at 385 yards below surface, 150 miners working, seam thickness, shot drilling process, shot details, accumulation of firedamp, exacerbation by coal dust",2 miners injured,,,,,,,,,,,,,Allerton Bywater colliery explosion
"June 4, 1988","Arzamas, Gorky Oblast, Soviet Union","91 killed, 1,500 injured",Explosion at railway crossing involving freight train carrying explosives,"26-meter deep crater, destruction of 151 buildings, displacement of 823 families, damage to power lines and gas pipeline, alternative theories on cause, official cause attributed to loading and transport violations","Major damage to buildings, infrastructure, and railway track",,,,,,,,,,,,,Arzamas train disaster
"October 7, 2017","Madina, Accra, Ghana","7 deaths, 132 injured",Liquefied natural gas station explosion,"Explosion at gas station, fire at Total Filling Station, fatalities, injuries, stampede, evacuation of students and residents",192,"Presbyterian Boys' Senior High School, University of Ghana, Ghana National Fire Service, Ghana Police Service, National Disaster Management Organisation, property damage cost, Vice President's statement",,,,,,,,,,,,Atomic Junction Gas Explosion
"December 3, 2020","Avonmouth, Bristol, UK","4 killed (including a 16-year old apprentice), 1 injured",Silo explosion containing biosolids,"Major incident declared, emergency response by Great Western Air Ambulance, GENeco-operated site, anaerobic digestion products, potential cause involving angle grinders and methane, ongoing investigation",-,"Wessex Water subsidiary, biomethane production, bus operators supplied, Bristol Community Transport, MetroBus route, unconfirmed evidence, methane accumulation, ignition risk, official investigation status, Wikipedia stub for England-related event",,,,,,,,,,,,Avonmouth explosion
"April 24-25, 2021","Ibn al-Khatib hospital, Baghdad, Iraq","At least 82 dead, 110 injured",Fire from oxygen tank explosion for COVID-19 patients,"Lack of fire detection systems, spread of fire, patients taken off ventilators, Minister for Health suspension, strain of COVID-19 pandemic in Iraq, skepticism about vaccines and mask-wearing, hospital designated for COVID-19 patients, hospital renovation, European Commission report on hospital fire risk, accident cause, fault in oxygen cylinder storage",-,,,,,,,,,,,,,Baghdad hospital fire
"May 27, 1983","Benton, Tennessee","11 killed, 1 injured",Illegal fireworks factory explosion,"Largest illegal fireworks operation in US history, two-year federal investigation, convictions of 21 individuals, national media coverage",-,"Webb's Bait Farm, unlicensed factory, mastermind behind the operation, involvement of multiple states, deadliest illegal fireworks event in US history",,,,,,,,,,,,Benton fireworks disaster
"September 22, 1993","Mobile, Alabama, United States","47 killed, 103 injured",Amtrak train derailment on CSX Transportation Big Bayou Canot Bridge,"Deadliest train wreck in Amtrak's history, worst rail disaster in the US since 1958",-,"Tow of heavy barges collision, displacement of span, deformation of rails, barge entering un-navigable channel, lack of pilot training, poor visibility, lack of equipment, lack of criminal liability, bridge design flaw, lack of conversion, bridge collision time",,,,,,,,,,,,Big Bayou Canot rail accident
,,,,,,,,,,,,,,,,,,Braamfontein Explosion
"March 4, 2012","Brazzaville, Republic of the Congo","At least 300 killed, over 2,500 injured",Series of blasts at army arms dump,"Chinese workers among the dead, survivors' descriptions, timeline of explosions, government officials' response, buildings destroyed, president's residence proximity","121,000 homeless, $672 million in damages",,,,,,,,,,,,,Brazzaville arms dump blasts
"August 18, 1769","Brescia, Italy","Varying reports (3,000 deaths in later sources, official account of 400 dead, 800 wounded)",Lightning strike igniting gunpowder store,"Extensive destruction, one-sixth of the city destroyed, massive explosion, stones hurled in a kilometer radius",-,"Bastion of San Nazaro, Republic of Venice, destruction of Santi Nazaro e Celso, varying death toll reports, laws governing gunpowder storage, Benjamin Franklin's lightning rod advice, long-lasting memory of the event",,,,,,,,,,,,Brescia explosion
"December 11, 2005","Hertfordshire Oil Storage Terminal, England",-,Fuel-air explosion in a vapour cloud,"Major fire at oil storage facility, fifth largest in the UK, 20 large storage tanks overwhelmed, emergency services response, Richter scale measurement, biggest incident in peacetime Europe, Health Protection Agency and Major Incident Investigation Board involvement, safety measures needed",-,,,,,,,,,,,,,Buncefield fire
"September 7, 1984","Qala, Gozo, Malta","7 killed (5 soldiers, 2 policemen), 1 survivor severely injured",Explosion on patrol boat C23 while dumping illegal fireworks,"Patrol boat severely damaged, renamed P23, decommissioned in 2010, memorial at AFM base",-,"Swift-class patrol boat, Maritime Squadron of the Armed Forces of Malta, origin of patrol boat, donation by US Navy, arrival in Malta, handover ceremony, routine operation, seizure of illegal fireworks, exact cause of explosion, spark theory",,,,,,,,,,,,C23 tragedy
"August 7, 1956","Cali, Colombia","1,300+ dead, 4,000+ injured",Army ammunition trucks explosion,"Destruction of 41 blocks, earthquake, districts affected, trucks origin, crater size, hypotheses, president's response, priest's intervention, mass grave, commemoration",-,,,,,,,,,,,,,Cali explosion
"September 26, 1999","Celaya, Mexico","63 killed, 348 injured",Explosion of illegally stored fireworks and gunpowder,"Detonation of four tons of fireworks and gunpowder, multiple explosions, government investigation, arrests made, charges brought against individuals",-,,,,,,,,,,,,,Celaya fireworks disaster
"February 8, 2006","Kurchaloi near Grozny, Chechnya","At least 13 killed, 28 injured",Gas leak explosion at Spetsnaz base,"Two-story building collapse, Russian special forces troops, barracks housing GRU servicemen, skepticism over gas leak theory, Chechen separatist response",-,"200 GRU servicemen, 43 believed inside during explosion, official statement, potential alternative theories, absence of direct militant targeting",,,,,,,,,,,,Chechnya Spetsnaz base explosion
"January 14, 2020","Tarragona, Catalonia, Spain","3 deaths (off-site), 7 injured",Explosion at Chemical Industries of Ethylene Oxide site,"IQOXE operated site, producer of ethylene oxide, capacity, production destination, Seveso-III directive coverage, first and second explosions, ethylene oxide tank affected, transformation station affected, blast radius, severe fire, smoke plume, firefighter response, controlled burning of propylene oxide, exclusion zone, closure of railway lines and highway, confinement of residents, advice to residents, off-site fatalities, collapsing roof, Sergio Millán's death, steel plate incident, security camera footage",-,,,,,,,,,,,,,Chemical Industries of Ethylene Oxide explosion
"January 7, 2022","Wulong District, Chongqing, China",At least 16 killed,Gas leak explosion,"Explosion in canteen building, fatalities, injuries, disaster in Chongqing, Wikipedia stub for Chongqing-related event",10 injured,"Wikipedia stub for disaster management, expansion of article needed",,,,,,,,,,,,Chongqing explosion
"October 21, 1971","Clarkston, East Renfrewshire, Scotland","22 deaths, around 100 injured",Gas explosion in row of shops,"Build-up of gas in underground space, accidental gas main leak, complaints of gas smell prior, gas ignition, destruction of shops and car park, inquiry verdict, commemoration plaques, TV program on the disaster","Many shop staff, shoppers, bus passengers affected",,,,,,,,,,,,,Clarkston explosion
"November 3, 1810","Cork, Ireland","22 killed, over 40 injured",Gunpowder explosion,"Gunpowder theft from Ballincollig Royal Gunpowder Mills, explosion in labourer's house, disaster fund for victims, stolen gunpowder drying method, illicit gunpowder use, disaster inquiry, explosion details, warning on gunpowder storage",-,,,,,,,,,,,,,Cork gunpowder explosion
"August 18, 1947","Cádiz, Spain","147 dead, 5,000 injured",Military accident - explosion at storage depot,"1,737 sea mines, torpedoes, depth charges exploded, 200 tonnes of TNT and amatol, destruction of military facilities, damage to San Severiano and San José districts",-,"Buildings destroyed: Asilo de Ancianos, Casa Cuna orphanage, nearby factory, Madre De Dios Hospital, Echevarrieta shipyard, Punic necropolis, sabotage theories, lack of official technical explanation",,,,,,,,,,,,C谩diz Explosion
,,,,,,,"Historical significance in the Dutch Golden Age, connections with the House of Orange-Nassau, contributions to science and technology, establishment of the city",,,,,,,,,,,Delft Explosion聽
"January 27, 2021","Cliff of Dschang, Santchou, Cameroon","53 killed, 29 severely burned","Bus-truck collision, fuel truck explosion","Collision between passenger bus and fuel truck, fog as possible cause, brake problem in bus, speeding fuel truck, uncontrollable fire, vehicles ravaged",-,"Menoua Voyages bus, interurban travel agency, governor's statement, Transport Minister's statement, NGO's assessment, unauthorized fuel transport, Wikipedia stubs for Cameroon, road transport, and disaster management",,,,,,,,,,,,Dschang bus-truck crash
"March 11, 1597","Dublin, Ireland",126 killed,Gunpowder explosion,"40 houses demolished, dozens damaged",Countless,"Explosion on the quays of Dublin, forty houses destroyed, rebuilding efforts, expansion of Dublin, foundation of new city centre, barrels of gunpowder, crane accident, devastation, debris, riverside labourers, body parts scattered",,,,,,,,,,,,Dublin gunpowder explosion
"May 13, 2000","Enschede, Netherlands","23 killed (including 4 firefighters), nearly 1,000 injured",Fireworks explosion at S.E. Fireworks depot,"400 homes destroyed, 1,500 buildings damaged, explosions' strengths, area destroyed, evacuation of 10,000 residents, damages exceeding 1 billion guilders, asbestos warning",-,"S.E. Fireworks supplier to events, safety record, location in residential area, 40-hectare area destruction, Grolsch Beer brewery fire, asbestos release, fire origin, evacuation details, replacement brewery opening",,,,,,,,,,,,Enschede fireworks disaster
"September 25, 1998","Longford, Victoria, Australia","2 killed, 8 injured",Esso Longford gas explosion,"Joint partnership between Esso and BHP, owned by ExxonMobil, plant complex details, primary provider of natural gas to Victoria, feed from Bass Strait platforms, removal of water and hydrogen sulfide, pump failure leading to overflow, Gas Plant No. 1 incident",Severely affected gas supplies for two weeks,,,,,,,,,,,,,Esso Longford gas explosion
"July 11, 2011","Mari, Larnaca, Cyprus","13 killed, 62 injured",Ammunition explosion,"Worst peacetime military accident in Cyprus, 481 tons TNT equivalent, largest artificial non-nuclear explosion of the 21st century, containers of high explosive artillery shells, gunpowder, primers, US Navy interception of Monchegorsk, leaked US cables, Hillary Clinton's pressure, refusal of removal offers, fire starting from explosions, time of incident",-,,,,,,,,,,,,,Evangelos Florakis Naval Base explosion
"February 20, 2019","Dhaka, Bangladesh","At least 80 dead, 50 injured",Gas cylinder explosion in road accident leading to fire,"Fire in historic district of Chowk Bazaar, spread to multiple buildings, started from vehicle explosion, response time, response from government officials, future preventative measures","Severe burns, lung damage","Bangladesh President, Prime Minister, and other officials' condolences, ban on chemical warehouses in the city, international response",,,,,,,,,,,,February 2019 Dhaka fire
"June 1, 1974","Flixborough, North Lincolnshire, England","28 killed, 36 seriously injured",Chemical plant explosion,"Potential higher casualties on a weekday, equipment modification, lack of mechanical engineering expertise, public outcry, UK Health and Safety at Work Act, Control of Major Accident Hazards Regulations 1999, Seveso Directive, plant ownership, production change from fertiliser to caprolactam",72 total on-site,,,,,,,,,,,,,Flixborough Disaster
"June 27, 2015","Formosa Fun Coast, Bali, New Taipei City, Taiwan","15 killed, 199 critical condition","Dust fire at ""Colour Play Asia"" party","Misreported as an explosion, corn starch sprayed ignited, fire lasted 40 seconds, use of carbon-dioxide fire extinguishers, inspired by Hindu festival ""Holi"", first Taiwanese colour party in 2013, warning of dust explosion in 2013, event details, party-goers activities",508 burned,,,,,,,,,,,,,Formosa Fun Coast explosion
"November 5, 2021","Freetown, Sierra Leone","151 deaths, 304 injuries",Petrol fuel tanker and lorry collision resulting in explosion and fire,"Busy junction in Freetown, intersection along Bai Bureh Road, Wellington neighborhood, PMB intersection, time of accident, vehicles involved, fuel leakage, community response, National Disaster Management Agency involvement, mayor's statement, traffic chaos, bus fire, nearby shops and markets catching fire",Overwhelmed medical services,,,,,,,,,,,,,Freetown fuel tanker explosion
"December 19, 2020","Gaziantep, Turkey",9 killed (aged 56-85),"Fire at Sanko University Hospital, oxygen cylinder explosion","Fire in ICU treating COVID-19 patients, started at 4:45am, explosion in presence of 19 patients",-,"COVID-19 ICU ward, privately run hospital, patients' age range, fire outbreak details, Wikipedia stubs for COVID-19 pandemic, disaster management, and Turkish history",,,,,,,,,,,,Gaziantep hospital fire
"February 21, 2022","Gbomblora, Burkina Faso","About 60 killed, over 100 injured",Mine explosion,"Major explosion followed by smaller ones, likely related to chemicals used for gold treatment",-,"Coordinates, Gbomblora Department, Burkina Faso, stub articles related to Burkina Faso, disaster management, and mining",,,,,,,,,,,,Gbomblora explosion
"October 6, 1854","Gateshead and Newcastle, England","53 killed, hundreds injured",Great fire and explosion,"Destruction of substantial property, one building still extant, Newcastle and Gateshead towns, River Tyne, Newcastle Quayside, Gateshead development, bridges linking towns, Robert Stephenson's High Level Bridge, Messrs. J. Wilson & Sons mill, fire discovery time, crowd gathering, gaslight-lit building, previous fire incident, growing conflagration",-,,,,,,,,,,,,,Great fire of Newcastle and Gateshead
"July 17, 1856","Whitemarsh Township, Pennsylvania","Between 59-67 killed, over 100 injured",Train collision,"Deadliest railroad catastrophe at the time, known as The Camp Hill Disaster and The Picnic Train Tragedy, construction of Philadelphia-Lehigh Valley railroad, incorporation of Philadelphia, Easton and Water Gap Railroad Company, opening of North Pennsylvania Railroad Company, significance of railroad in local commerce, Picnic Special excursion train, St. Michael's Roman Catholic Church picnic, hot weather conditions, train carrying 1,100 people",-,,,,,,,,,,,,,Great Train Wreck of 1856
"December 6, 1917","Halifax, Nova Scotia, Canada","1,782 killed, 9,000 injured",Collision of SS Mont-Blanc and SS Imo leading to massive explosion,"Devastation of Richmond district, explosion equivalent to 2.9 kilotons of TNT, orders for Mont-Blanc's cargo, collision details, relief efforts, tsunami impact on Mi'kmaq First Nation community",Largest human-made explosion at the time,,,,,,,,,,,,,Halifax Explosion
"December 10, 2016","Hitrino, Shumen Province, Bulgaria","7 killed, 29 injured","Freight train derailment, explosion, fire","Bulmarket freight train, route from Burgas to Ruse, derailment time, train direction changes, areas passed through, diversion to side track, waggons carrying propane-butane and propylene, collision with power line pole, explosion, fire engulfing buildings, building collapse, trapped children, survivors, evacuation of village, firefighting efforts, evacuation order, hospitals for injured, extent of burns, sparks from locomotive, possible heavy braking indication",Several sustained burns,,,,,,,,,,,,,Hitrino train derailment
"August 9, 1999","Calgary, Alberta, Canada",2 fatalities,Industrial accident at Hub Oil refinery,"Explosion at Hub Oil refinery, location near Penbrooke community, roots of Kalmacoff family in Kamsack, Saskatchewan, history of Hub Oil Company Ltd., used oil recycling operations, end products, annual oil collection volume, products sold to potash mines",-,,,,,,,,,,,,,Hub Oil explosion
"November 21, 1996","Río Piedras, Puerto Rico","33 killed, 69 wounded",Gas explosion at Humberto Vidal shoe store,"Building collapse, one of the deadliest disasters in Puerto Rico, explosion time, building occupants, response by authorities, investigation details, denial of responsibility by San Juan Gas Company",-,,,,,,,,,,,,,Humberto Vidal explosion
"February 1, 2008","Davutpaşa, Istanbul, Turkey","At least 17-22 dead, at least 100 injured",Unlicensed fireworks factory explosion,"Two separate explosions, building collapse, factory shut down twice prior, illegal operation, multiple manufacturers in complex, stub articles for disaster management and Turkey",-,,,,,,,,,,,,,Istanbul fireworks explosion
"July 26, 2007","Musalmiya, Syria","15 killed, 50 wounded",Arms depot explosion,"Explosion at missile base, ammunition dump detonation, conflicting reports on cause, chemical weapons experiment, high temperatures, Syrian government statement, Jane's Defence Weekly analysis, Iranian involvement, North Korean missile engineers, mustard gas, Sarin, VX nerve gas, Israeli air strike speculation",-,,,,,,,,,,,,,July 2007 Syrian arms depot explosion
"December 10, 2013","Kafr El Zayat, Egypt","At least 14 killed, 6 wounded",Fuel truck explosion,"Fatal explosion in Kafr El Zayat, Egypt, casualties, injuries, Wikipedia stub for Egypt-related event",-,"Wikipedia stub for Egypt-related event, explosion details, assistance needed for expanding article",,,,,,,,,,,,Kafr Elle Zayat fuel truck explosion
"July 30, 2020","Kōriyama, Fukushima Prefecture, Japan","1 death, 19 injured",Gas explosion at On-Yasai restaurant during renovation,"Blast during restaurant remodeling, nearby businesses damaged, suspected propane cylinder failure",-,"Ikinari Steak restaurant, bank damage, worker killed during renovation, renovation details, gas leak suspicions, police investigation, gas supplier's corrosion report",,,,,,,,,,,,K艒riyama explosion
"July 6, 2013","Lac-Mégantic, Quebec, Canada",47 killed,Unattended train carrying crude oil derails and explodes,"Explosion and fire, destruction of buildings, petroleum contamination, identified causes",-,"Montreal, Maine and Atlantic Railway, 1.2% grade descent, multiple tank cars, blast radius, deadliest rail accident since 1867",,,,,,,,,,,,Lac-M茅gantic rail disaster
"March 1, 1965","LaSalle, Quebec","28 deaths, 39 injured, 200 homeless",Gas line explosion,"Low-cost housing units destroyed, casualties mostly women and children, residential block details, construction cost, number of units, rent prices, time of explosion, crater left, cause of explosion, list of known dead, subsequent inquiries, metallurgists' findings",-,,,,,,,,,,,,,LaSalle Heights disaster
"November 25, 2021","Kemerovo Oblast, Russia","At least 11 miners, 5 rescuers killed","Fire in ventilation shaft, methane explosion","Deadliest mine accident in Russia since 2010, Listvyazhnaya mine part of SDS-Holding, owned by Siberian Business Union, previous methane explosion in 2004, safety assessment of Russian coal mines in 2016, last inspection date, miners' complaints of high methane levels, previous fire incident, coal dust fire in ventilation shaft, rescue operations, suspension due to methane levels","53 rescuers injured, 49 miners hospitalized",,,,,,,,,,,,,Listvyazhnaya mine disaster
"July 11, 1978","Alcanar, Spain","217 killed, 200 severely burned",Tanker explosion loaded with propylene,"Road accident, highly flammable propylene, Los Alfaques seaside campsite, victims mostly vacationers, tanker truck details, driver information, loading location, departure time, overloaded cargo, route taken, temperature conditions, pressure in the tank, explosion time, driver's watch stopped at the time of the explosion",-,,,,,,,,,,,,,Los Alfaques disaster
"February 13, 1981","Louisville, Kentucky, United States","0 fatalities, 4 injured",Series of explosions due to hexane vapors,"Destruction of 13 miles of sewer lines and streets, explosions caused by hexane vapors from Ralston-Purina plant, plant's history, repairs duration, legal settlements, company's admission of guilt, environmental law violations, fine, hexane usage, containment system failure, hexane release, vaporization, leakage notification, estimated spill amount",Extensive damage to property and infrastructure,,,,,,,,,,,,,Louisville sewer explosions
"March 27, 1974","Magude, Mozambique","70 killed, 200 injured",Train collision and explosion,"Head-on collision, explosion of petroleum products, worst rail disaster in Mozambique at the time",-,"Train carrying passengers from Rhodesia, collision with Mozambican freight train, burning oil, melting coaches, rescue attempts, condolences from President Tolbert",,,,,,,,,,,,Magude train disaster
"October 6, 2018","Kongo Central, Democratic Republic of the Congo",At least 39 killed,Mbuba road tanker explosion,"Tank truck collision, explosion, fuel leakage, destruction of houses, MONUSCO involvement, evacuation to Kisantu",Over 100 injured,"Villagers collecting fuel, UN mission, number of ambulances sent, coordinates of the accident site",,,,,,,,,,,,Mbuba road tanker explosion
"December 23, 1988","Memphis, Tennessee","9 deaths, 10 injuries",Tanker truck hauling liquefied propane crash and explosion,"Tank propelled 125 yards, residential complex fire, unsafe interchange, poorly designed, rebuilt in 2000s, previous accidents, interchange location, construction history, legal battles, Supreme Court case",Multiple vehicles and structures on fire,,,,,,,,,,,,,Memphis tanker truck disaster
"September 13, 2018","Lawrence, Andover, North Andover, Massachusetts, United States","1 killed, 30,000 evacuated",Natural gas explosions and fires due to excessive pressure in gas lines owned by Columbia Gas of Massachusetts,"Series of explosions and fires in 40 homes, over 80 individual fires, NTSB preliminary report findings, evacuation details, low-pressure distribution network, high-pressure main pipeline, faulty procedure, multiple explosions and fires, emergency response, impact on the towns",-,"Columbia Gas of Massachusetts, Leonel Rondon, evacuation numbers, pressure sensor transfer failure, regulator malfunction, rapid gas buildup, emergency crews' response, 10-alarm response, war zone description, extensive damage, community impact",,,,,,,,,,,,Merrimack Valley gas explosions
"December 12, 1988","La Merced Market, Mexico City","60+ killed, 83 injured",Explosion and fire from illegal fireworks,"Explosion triggered by illegal fireworks, fire spread to nearby buildings and stalls, ban on fireworks sales and use in Mexico City, skepticism towards enforcement of ban",-,"Gas cylinder explosion, alley next to main market, street food vendor, chain reaction of exploding firework crates, fire spread to buildings and stalls, Red Cross and police reports, mayor's response, regulation history",,,,,,,,,,,,Mexico City fireworks disaster
"May 24, 2004","Mihăileşti, Buzău County, Romania","At least 18 killed, 13 injured",Ammonium nitrate truck explosion,"Truck rollover, fire, explosion, time of accident, response time, casualties, injuries, crater depth, human remains, debris radius, damage cost, safety regulations, legal actions, charges, court verdict, sentences, compensations",-,"E85 express road, Bucharest-Moldavia connection, 20 tons of ammonium nitrate, fire trucks, TV crew, villagers, small and large explosions, DNA identification, hazardous chemical classification, Doljchim plant, transport companies, negligence charges, guilty verdict, jail sentences, victims' families compensation",,,,,,,,,,,,Mih膬ile葯ti explosion
"January 9, 2014","Yokkaichi, Mie, Japan",At least 5 killed,Explosion at Mitsubishi Materials chemical plant,"Fatalities, injuries, chemical plant explosion, casualties, incident details, rescue operations",17 injured,"Mitsubishi Materials facility, chemical plant explosion, number of injured, incident time, rescue efforts, investigation findings",,,,,,,,,,,,Mitsubishi Materials chemical plant explosion
"August 10, 2019","Morogoro, Tanzania",At least 89 killed,Fuel tanker explosion,"One of the largest disasters in Tanzania, fuel tanker crash, people collecting fuel, explosion, incident time, crash location, crowd size, rescue operations, police commissioner statement",55 injured,,,,,,,,,,,,,Morogoro tanker explosion
"October 24, 1960",Baikonur test range,Unknown military and technical personnel killed,Accidental ignition of second stage engine of R-16 missile,"Launch pad explosion during R-16 ICBM test, suppression of news, Soviet government acknowledgment in 1989",Not specified,"Chief Marshal of Artillery Mitrofan Ivanovich Nedelin, missile prototype preparation, rocket specifications, hypergolic fuel and oxidizer, safety requirements, extreme schedule pressure, short circuit cause, first stage fuel tank detonation",,,,,,,,,,,,Nedelin catastrophe
"March 18, 1937","New London, Texas, United States",Over 300 students and teachers killed,Natural gas leak explosion,"Third-deadliest disaster in Texas history, destruction of London School",-,"Economic background, discovery of oil in Rusk County, construction details of London School, decision to switch to cheaper gas source, use of waste natural gas",,,,,,,,,,,,New London School explosion
"February 18, 2004","Khayyam near Nishapur, Iran","Nearly 300 killed, entire village destroyed",Runaway train wagons explosion,"Deadliest rail disaster in Iran, parked train coming loose, wagons carrying explosive substances, derailment, explosion, destruction of Khayyam, impact on neighboring towns, emergency response, aftermath",-,,,,,,,,,,,,,Nishapur train disaster
"November 1, 2017","Unchahar, Uttar Pradesh, India","32 killed, 100 injured",Boiler explosion at NTPC power plant,"Newly commissioned 500-megawatt unit, government-owned NTPC, cleaning ash from boiler, 3:30 p.m. local time, 1,550-megawatt plant, 43 total deaths, 200 workers on duty, abnormal sound, hot flue gases and steam escape, relief and rescue efforts, compensation by state government and Minister of Power, Prime Minister's statement",-,,,,,,,,,,,,,NTPC power plant explosion
